Grid,# Nodes,Total Iteration,CPU',1,2,3
1,16,22,5.13,0.0162,0.001,0.0162
2,49,24,6.03,0.0153,0.0007,0.0153
3,100,26,7.56,0.0126,0.0007,0.126
4,256,32,12.77,0.0097,0.0006,0.0097
5,900,38,36.63,0.0085,0.0006,0.0085
analytic,,,,0.0047,0.0001,0.0047
