Grid,Finite-Difference,Backward Difference Finite-Element,Central Difference Finite-Element
1,1.493,1.62,1.729
2,1.537,1.565,1.671
3,1.546,1.556,1.662
4,1.55,1.553,1.659
5,1.55,,
