HCLOSE,# of Iterations,CPU,1,2,3
0.0001,47,5.64,1.956,1.493,2.806
0.001,42,4.94,1.956,1.493,2.816
0.001,36,4.83,1.956,1.493,2.807
0.01,25,4.65,1.945,1.482,2.801
0.05,10,4.48,1.653,1.177,2.797
1,10,4.48,1.653,1.177,2.259
