Grid,# Nodes,Total Iteration,CPU',1,2,3
1,16,47,5.64,1.956,1.493,2.806
2,49,74,8.12,1.971,1.537,2.816
3,100,96,13.02,1.962,1.546,2.807
4,256,124,30.33,1.955,1.55,2.801
5,900,143,106.54,1.952,1.55,2.797
analytic,,,,2.04,1.63,2.95
